id;nome;descricao;industrial;setor;data_criacao
1;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
2;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
3;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
4;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
5;Direct;Profit-focused;false;copying;2021-04-10
6;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
7;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
8;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
9;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
60;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
51;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
52;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
53;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
54;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
55;Direct;Profit-focused;false;copying;2021-04-10
56;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
57;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
58;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
59;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
10;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
11;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
12;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
13;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
14;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
15;Direct;Profit-focused;false;copying;2021-04-10
16;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
17;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
18;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
19;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
20;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
21;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
22;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
23;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
24;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
25;Direct;Profit-focused;false;copying;2021-04-10
26;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
27;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
28;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
29;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
30;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
31;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
32;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
33;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
34;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
35;Direct;Profit-focused;false;copying;2021-04-10
36;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
37;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
38;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
39;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
40;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
41;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon;2021-04-11
42;partnerships Grocery Intelligent;Dynamic;false;Montana;2021-04-11
43;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad;2021-04-10
44;virtual deposit;Squares mint green e-business;true;projection Fresh;2021-04-11
45;Direct;Profit-focused;false;copying;2021-04-10
46;Games;Iraq Bedfordshire;true;encompassing;2021-04-11
47;Gloves sky blue Oklahoma;robust Engineer;true;Quality-focused;2021-04-11
48;capability zero tolerance Computers;Analyst paradigms;false;ubiquitous;2021-04-11
49;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate;2021-04-11
50;transmitter;Point Orchestrator;false;bypassing optical;2021-04-11
